LINK_TYPE,SCOPE,ORIGIN,PATH_TYPE,ELEMENT_PATH,SRC_ID,DST_ID,ELEMENT_POSITION,ALT_TEXT,LINK_TEXT,HREF_LANG,NOFOLLOW,UGC,SPONSORED,TARGET,NOOPENER,NOREFERRER,IMAGE_DISPLAY_WIDTH,IMAGE_DISPLAY_HEIGHT,IMAGE_WIDTH_ATTRIBUTE,IMAGE_HEIGHT_ATTRIBUTE
7,2,4,2,,24,58,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,34,59,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,23,60,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,47,61,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,1,4,2,,13,62,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,35,63,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,1,4,2,,14,64,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,44,65,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,31,66,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,27,67,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,18,68,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,29,69,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,20,70,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,1,4,2,,16,71,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,32,72,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,1,4,2,,9,3,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,1,4,2,,8,2,,,,,False,False,False,,False,False,-1,-1,-1,-1
15,2,4,2,,11,73,,,,,False,False,False,,False,False,-1,-1,-1,-1
7,2,4,2,,19,74,,,,,False,False,False,,False,False,-1,-1,-1,-1
1,1,1,3,//body/a,3,3,Content,,Saltar al contenido,,False,False,False,,False,False,-1,-1,-1,-1
